"Category","Check","Status","Diagnostic","Stdout","Stderr"
"script-syntax","B3.3_Common.ps1","PASS","PowerShell syntax valid.","",""
"script-syntax","B3.3_ConfigDrift.ps1","PASS","PowerShell syntax valid.","",""
"script-syntax","B3.3_Reproducibility.ps1","PASS","PowerShell syntax valid.","",""
"script-syntax","B3.3_SizeBudget.ps1","PASS","PowerShell syntax valid.","",""
"script-syntax","B3.3_ToolchainGuard.ps1","PASS","PowerShell syntax valid.","",""
"script-syntax","B3.3_Verify.ps1","PASS","PowerShell syntax valid.","",""
"baseline-json","B3.3_configuration_baseline.json","PASS","JSON parsed; schema version 1.","",""
"baseline-json","B3.3_size_budget.json","PASS","JSON parsed; schema version 1.","",""
"baseline-json","B3.3_toolchain_baseline.json","PASS","JSON parsed; schema version 1.","",""
"control-execution","reproducible-build","PASS","Completed in 207.19 seconds.","D:\OneDrive\SQD\docs\evidence\logs\B3.3\B3.3_verify_reproducible-build_stdout_20260725_135322.txt","D:\OneDrive\SQD\docs\evidence\logs\B3.3\B3.3_verify_reproducible-build_stderr_20260725_135322.txt"
"control-execution","configuration-drift","PASS","Completed in 131.243 seconds.","D:\OneDrive\SQD\docs\evidence\logs\B3.3\B3.3_verify_configuration-drift_stdout_20260725_135322.txt","D:\OneDrive\SQD\docs\evidence\logs\B3.3\B3.3_verify_configuration-drift_stderr_20260725_135322.txt"
"control-execution","toolchain-rejection","PASS","Completed in 12.104 seconds.","D:\OneDrive\SQD\docs\evidence\logs\B3.3\B3.3_verify_toolchain-rejection_stdout_20260725_135322.txt","D:\OneDrive\SQD\docs\evidence\logs\B3.3\B3.3_verify_toolchain-rejection_stderr_20260725_135322.txt"
"control-execution","firmware-image-size-budget","PASS","Completed in 111.998 seconds.","D:\OneDrive\SQD\docs\evidence\logs\B3.3\B3.3_verify_firmware-image-size-budget_stdout_20260725_135322.txt","D:\OneDrive\SQD\docs\evidence\logs\B3.3\B3.3_verify_firmware-image-size-budget_stderr_20260725_135322.txt"
